date,bit/s
2018-06-12 15:10:19.133116,179840093.43915907
2018-06-12 15:10:20.134987,183017854.45133522
2018-06-12 15:10:21.136480,182664605.7127565
2018-06-12 15:10:22.138084,183198541.52480945
2018-06-12 15:10:23.138947,290198696.85684913
2018-06-12 15:10:24.138958,306062801.81159455
2018-06-12 15:10:25.141145,305267559.029032
2018-06-12 15:10:26.141167,306001469.99265003
2018-06-12 15:10:27.142384,305617201.9984299
2018-06-12 15:10:28.143637,326957487.8426116
2018-06-12 15:10:29.144913,226990653.8322484
2018-06-12 15:10:30.145740,229176248.18148392
2018-06-12 15:10:31.146130,229276304.28067765
2018-06-12 15:10:32.146727,229228413.69274867
2018-06-12 15:10:33.147115,229276533.4703482
2018-06-12 15:10:34.148012,229169780.7050849
2018-06-12 15:10:35.148232,229323756.313914
2018-06-12 15:10:36.148607,229287993.53811947
2018-06-12 15:10:37.148919,229301976.37230858
2018-06-12 15:10:38.148931,229478911.56326532
2018-06-12 15:10:39.149214,229192939.6591801
2018-06-12 15:10:40.149716,229258887.2063211
2018-06-12 15:10:41.150234,229261407.9348769
2018-06-12 15:10:42.150621,229286618.26949796
2018-06-12 15:10:43.151070,229271491.40343863
2018-06-12 15:10:44.151754,229217188.65082943
2018-06-12 15:10:45.151783,239737429.51398018
2018-06-12 15:10:46.152873,457759364.6829658
2018-06-12 15:10:47.152881,484732480.0
2018-06-12 15:10:48.152896,488598716.40770155
2018-06-12 15:10:49.153999,489362923.59865946
2018-06-12 15:10:50.155313,489365123.8784625
